text;filename;subtitle;voice;highpass;lowpass;volume;filter;noise;emphasis;rate;pitch;duration
RSBN channel;RSBNChannel;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.41
runway length;RunwayLength;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.68
snow;Snow;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.5
statute miles;StatuteMiles;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.21
sunrise at;SunriseAt;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.03
sunset at;SunsetAt;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.99
TACAN channel;TACANChannel;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.68
temperature;Temperature;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.71
thousand;Thousand;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.6
thunderstorm;ThunderStorm;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.66
local time;LocalTime;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.79
zulu time;TimeZulu;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.79
tower frequency;TowerFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.07
visibility;visibility;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.77
VOR frequency;VORFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.97
weather phenomena;WeatherPhenomena;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.88
wind from;WindFrom;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.56
zulu;Zulu;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.53
